,,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1971,0.0,0.0,18.111721229073037,0.0,3.4427944048467958,0.0
LCV,1972,0.0,0.0,80.23787115386087,0.0,8.02058892565973,0.0
LCV,1973,0.0,0.0,101.65617286899212,0.0,8.443512322868152,0.0
LCV,1974,0.0,0.0,96.06011067932451,0.0,8.542522759067182,0.0
LCV,1975,0.0,0.0,75.62538324567375,0.0,7.370665149372828,0.0
LCV,1976,0.0,0.0,75.21646700215726,0.0,3.892191829915251,0.0
LCV,1977,0.0,0.0,64.64248831244988,0.0,3.016764632632365,0.0
LCV,1978,0.0,0.0,72.28337257910812,0.0,3.092006202416184,0.0
LCV,1979,0.0,0.0,83.22002733871089,0.0,4.618255649638614,0.0
LCV,1980,0.0,0.0,58.34204672143457,0.0,1.175334457569134,0.0
LCV,1981,0.0,0.0,40.891505193764175,0.0,2.332042017901816,0.0
LCV,1982,0.0,0.0,58.1125437981902,0.0,2.0816889116545028,0.0
LCV,1983,0.0,0.0,55.73946186759444,0.0,2.687521257255126,0.0
LCV,1984,0.0,0.0,119.3030805609057,0.0,3.7270964846799233,0.0
LCV,1985,0.0,0.0,193.71736697573803,0.0,6.4042791092296785,0.0
LCV,1986,0.0,0.0,263.0524705247969,0.0,16.426004932652575,0.0
LCV,1987,0.0,0.0,369.37883929390324,0.0,28.14749103819969,0.0
LCV,1988,0.0,0.0,419.0878350547115,0.0,35.82258208868909,0.0
LCV,1989,0.0,0.0,548.5433063345474,0.0,43.6339432286097,0.0
LCV,1990,0.0,0.0,463.724071649322,0.0,60.167892800135874,0.0
LCV,1991,0.0,0.0,525.8517010612386,0.0,74.33089464073412,0.0
LCV,1992,0.0,0.0,448.24222673007677,0.0,62.533401154021114,0.0
LCV,1993,0.0,0.0,573.5388447157626,0.0,82.36397664252273,0.0
LCV,1994,0.0,0.0,714.5051376950977,0.0,96.41533022225303,0.0
LCV,1995,0.0,0.0,758.2550598666098,0.0,109.29092017180113,0.0
LCV,1996,0.0,0.0,610.2963416624932,0.0,83.90000617776076,0.0
LCV,1997,0.0,0.0,592.7744335263203,0.0,81.90298649734066,0.0
LCV,1998,0.0,0.0,208.61181523487508,0.0,24.627213562875113,0.0
