,,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1971,0.0,0.0,18.111721229073037,0.0,3.4427944048467958,0.0
LCV,1972,0.0,0.0,98.3486254173272,0.0,11.463358459072465,0.0
LCV,1973,0.0,0.0,200.0046217020607,0.0,19.906844868117965,0.0
LCV,1974,0.0,0.0,296.06377675627476,0.0,28.441988702456655,0.0
LCV,1975,0.0,0.0,371.26587455964165,0.0,35.79593257469627,0.0
LCV,1976,0.0,0.0,446.4275439920122,0.0,39.6819432850213,0.0
LCV,1977,0.0,0.0,510.28193414726076,0.0,42.5485347047235,0.0
LCV,1978,0.0,0.0,580.9994943497966,0.0,45.421863572255404,0.0
LCV,1979,0.0,0.0,662.4470697195954,0.0,49.51687653542684,0.0
LCV,1980,0.0,0.0,703.8867046123509,0.0,47.09142616851076,0.0
LCV,1981,0.0,0.0,726.0246639085507,0.0,47.31594075764559,0.0
LCV,1982,0.0,0.0,761.3843602990862,0.0,46.07575826468971,0.0
LCV,1983,0.0,0.0,783.9437114463644,0.0,44.42309396550148,0.0
LCV,1984,0.0,0.0,878.9572640238437,0.0,43.78338989873643,0.0
LCV,1985,0.0,0.0,1043.5013264492109,0.0,44.984908294918114,0.0
LCV,1986,0.0,0.0,1266.885289361631,0.0,54.72428785441116,0.0
LCV,1987,0.0,0.0,1587.076459288932,0.0,81.0254664151717,0.0
LCV,1988,0.0,0.0,1945.4911548981067,0.0,114.76809369511868,0.0
LCV,1989,0.0,0.0,2431.801558317403,0.0,156.0417778469226,0.0
LCV,1990,0.0,0.0,2795.969113249608,0.0,213.63899751724503,0.0
LCV,1991,0.0,0.0,3227.1333161320626,0.0,285.281378563182,0.0
LCV,1992,0.0,0.0,3528.8871699025317,0.0,345.0333305224176,0.0
LCV,1993,0.0,0.0,3999.328476996536,0.0,424.5420941040415,0.0
LCV,1994,0.0,0.0,4593.896899139185,0.0,517.9068429542341,0.0
LCV,1995,0.0,0.0,5225.386953134727,0.0,623.666690072225,0.0
LCV,1996,0.0,0.0,5745.303827096735,0.0,703.0948648987473,0.0
LCV,1997,0.0,0.0,6231.579984506141,0.0,778.7615019028884,0.0
LCV,1998,0.0,0.0,6138.662561341453,0.0,761.9427635439799,0.0
LCV,1999,0.0,0.0,6587.879416178172,0.0,828.1863933154077,0.0
LCV,2000,0.0,0.0,6901.635218137986,0.0,869.8334186347039,0.0
LCV,2001,0.0,0.0,6879.993726097166,0.0,868.4835907369487,0.0
LCV,2002,0.0,0.0,7178.979477997839,0.0,924.2629583549082,0.0
LCV,2003,0.0,0.0,7396.083376871816,0.0,969.8466808527565,0.0
LCV,2004,0.0,0.0,7887.135546262697,0.0,1058.8190940750676,0.0
LCV,2005,0.0,0.0,8181.0433210579195,0.0,1109.7180285775662,0.0
LCV,2006,0.0,0.0,8621.154974026105,0.0,1190.0484424162314,0.0
LCV,2007,0.0,0.0,9264.391635979237,0.0,1304.5517007401531,0.0
LCV,2008,0.0,0.0,9883.142965213383,0.0,1427.5850898682752,0.0
LCV,2009,0.0,0.0,10802.464870341155,0.0,1625.2543558959228,0.0
LCV,2010,0.0,0.0,13024.491179215458,0.0,2096.527155168766,0.0
LCV,2011,0.0,0.0,19599.556561439742,0.0,4330.993013037518,0.0
LCV,2012,0.0,0.0,42985.707602368544,0.0,18419.294896900723,0.0
LCV,2013,0.0,0.0,147644.9697793113,0.0,150549.24525941972,0.0
LCV,2014,0.0,0.0,696324.271044687,0.0,2130388.0999219734,0.0
LCV,2015,0.0,0.0,3388942.8585413196,0.0,38530066.678928085,0.0
LCV,2016,0.0,0.0,4082869.181485285,0.0,46413634.697859615,0.0
LCV,2017,0.0,0.0,4859229.7459041,0.0,55294904.29573887,0.0
LCV,2018,0.0,0.0,5673053.939289388,0.0,64549446.76353353,0.0
LCV,2019,0.0,0.0,6432324.078135416,0.0,73638161.85969599,0.0
LCV,2020,0.0,0.0,6750744.050293173,0.0,77000485.06426655,0.0
LCV,2021,0.0,0.0,11187368.34862489,0.0,125929611.99523684,0.0
LCV,2022,0.0,0.0,15866214.247831212,0.0,178488120.0997184,0.0
LCV,2023,0.0,0.0,20828043.06497589,0.0,236551887.02990982,0.0
LCV,2024,0.0,0.0,26061416.202310394,0.0,299471853.7681507,0.0
LCV,2025,0.0,0.0,31457968.059865605,0.0,369379324.56582963,0.0
LCV,2026,0.0,0.0,36710257.91660599,0.0,446207326.99373597,0.0
LCV,2027,0.0,0.0,42000457.416066304,0.0,522001558.93727535,0.0
LCV,2028,0.0,0.0,47423028.7988377,0.0,598719151.7069042,0.0
