time,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
1971,3275033.658808742,21405.11031341726,1496.0533942386019,269427172.19461936,1600.7994891966484,960690485.4166667,25709962.10014345,40167.97783703857,36045.637165087996,161468.02589138976,609.0028058017886
1972,3423117.903772235,22292.67706215995,1564.4919429853471,283155661.31450146,1797.2063054019302,974467942.9166667,27478635.116286412,42083.78145515224,42267.43046280853,174073.2320083412,730.9402004024628
1973,3610895.1112393616,23396.299105708375,1628.6458917445111,299662134.8153108,1992.759415820759,987681224.1666666,29491140.39655743,44514.15991020099,44996.38463225604,179818.16547150747,821.1498437505373
1974,3751374.6946409135,24155.466082266164,1652.3293765694993,308956024.6320806,2113.8966122921415,1007121599.1666667,31041875.912821997,45817.85046510781,47297.65158402637,183175.66145692204,880.2211349997364
1975,3943410.256337243,25044.675751591276,1752.792545002461,320771140.143339,2248.9918484070263,1019833896.25,30736134.479157172,46568.381404107,46189.362325367685,185975.3839331057,954.7090410777729
1976,4087798.3279631357,25590.95555980778,1848.0691476523498,336417182.04106766,2452.055232546082,1033240086.2500001,32595611.451534145,48757.81566404937,49057.31666562709,191103.49449983635,1064.9384590835666
1977,4281825.545614602,26552.06165449366,1888.7129755453416,347700976.6252655,2585.8784140319735,1045727438.3333334,33702963.9234457,50842.98149696846,50639.65246371241,195379.46332430115,1159.2987929142687
1978,4477468.015063009,27512.50443174392,1998.314362887163,363994701.50157845,2892.167074414018,1057355925.0,34717326.74634752,52923.3208222409,51280.43216805117,199537.78321831918,1291.585963220164
1979,4655222.958580809,28403.088970643985,2087.883704613574,381189406.2057922,3108.2030773458673,1072892045.0000002,36536690.67149696,54541.95733263078,53902.56270844693,204358.83994635503,1423.0697778611423
1980,4845520.100365531,29274.718949812075,2134.5156167190803,396242317.8609755,3292.525751292612,1087541702.0833333,37622760.174246036,55904.908780581245,55112.8693619526,207346.50118913362,1474.5011499953298
1981,5051309.447318951,30049.59516786471,2174.9943931605003,405195635.73577386,3362.5480582396967,1102236699.1666665,37972531.24526292,57982.1034464549,53949.14749806515,210000.67197979355,1482.6094716892192
1982,5226798.239334356,30754.21013867477,2259.3663416910085,412321397.4371608,3426.1124734687824,1117584690.0000002,37046386.70968071,60264.682360936,50047.213576179514,211250.9926731433,1482.6088560491473
1983,5435904.479600147,31654.67562522791,2328.7703713098063,424341651.67471194,3562.6979621983382,1132102252.0833333,36841891.11868147,60886.98196951661,49108.13430344215,211527.93040841905,1514.3343229653656
1984,5698205.369332909,32879.132966759214,2381.7927290176003,434580481.48726815,3819.476873213278,1145265607.0833333,38344611.15639945,63159.64295296784,50166.67421125637,214123.64815708433,1598.434207270119
1985,5950966.310118621,34223.25311666227,2460.610340120298,443166697.3052831,4122.267258765641,1159133789.1666665,38797084.65402522,66288.44083818111,50035.063194434995,215951.20490724774,1684.363980535233
1986,6213472.416612901,35449.32316168374,2550.4571832666866,453799597.0542034,4413.809977770505,1172943006.2499998,38763045.039805256,65626.91799145375,49842.94136577045,218613.21643063662,1767.4158892684288
1987,6496738.270610961,36795.15313435315,2702.8712734477626,461658503.3729147,4813.7653786498595,1185574696.2499998,40113700.40551132,67722.31519845888,51479.18036786362,222058.72472477535,1920.1172759168244
1988,6864237.926397775,38592.99901797609,2910.7130992576235,474616201.2651523,5175.55617637523,1194546560.8333333,41512661.36609204,70128.92493893094,54146.81354560524,227822.53015884597,2061.6642078806444
1989,7058201.420674827,39176.24901165792,3074.0126566304257,484610302.96614105,5402.111934898475,1210640135.0,43296691.1676866,77255.0378045089,56485.11657772285,233207.76891325918,2165.190963918095
1990,7214315.640304111,39154.33123088754,3093.251292624122,488849763.8190728,5729.319632064663,1230553290.0,43453136.07243701,75270.16443544657,58043.79589729925,237441.4280750828,2311.875319464517
1991,7254967.400695513,38849.233588105955,3161.5958497126103,496718032.74081796,5705.71263128389,1252514105.4166667,43144428.538940676,72962.41182873098,58523.24127711552,241524.1762091736,2374.7528110663065
1992,7381878.2386347195,38866.075424490664,3265.744906077443,507209289.68382424,5793.6064825196645,1269531849.1666665,43532067.74130345,66805.89525969855,59603.57027822205,244837.3488323128,2570.8957626872793
1993,7530654.710239684,39322.122760209255,3316.4218988760204,519886954.7962644,5825.117692885504,1286342955.4166665,44140213.16699595,65128.484521410646,59551.65022673198,247967.65655219107,2711.5791677283232
1994,7630658.807865135,39204.12356171407,3398.409857934904,531299680.92668533,6187.242129546205,1302539306.2499998,45544441.815742835,62754.11391887945,61580.91365957771,251210.1444146851,2935.862547672898
1995,7826301.319273228,39402.47959231567,3497.9048503945014,545189429.8220478,6617.211882851464,1315099043.7500002,46572053.7993026,58756.77041549089,63237.217060170085,254706.3989334501,3149.253381103751
1996,7982700.285893936,39932.683235913195,3569.893591855896,555830068.7274259,7139.2715747201955,1328008112.5,48481843.28334685,59448.17316588854,65499.60898883845,260172.6674217395,3406.821323743025
1997,8233449.406277206,40907.71991739446,3648.6143673416846,571917851.2680135,7500.806746691105,1336068810.4166667,50245270.07176267,60254.63966355044,68903.45068686192,265456.3850238035,3601.990732001873
1998,8493567.106390249,41651.413627025875,3740.7537702146064,589772614.9526469,7639.509651112224,1344376974.5833335,49702117.0367839,60103.931482459,68231.95531233144,267078.49870285863,3654.050350100363
1999,8732645.917308722,42656.303041024774,3812.0678745423397,608258708.495311,8089.3253147664545,1352553196.2500002,51275761.294391364,62212.86346081461,70636.74613195413,271098.0630069997,3875.3529693017767
2000,8936684.128132613,44121.992154639884,3862.168946127406,629754439.606132,8708.970405798314,1360718851.666667,54597771.18625203,65570.91981894734,75110.22715091202,277557.5457513652,4226.556155260181
2001,9205947.741258211,44998.81496431137,3939.422693355409,653745467.9699994,8729.663223527168,1368783711.25,54267364.324216984,65557.96000208,74153.83360118831,279125.69894533145,4274.90600616551
2002,9510063.043099726,46440.596922510376,3971.3141248953916,667926843.8083506,8710.133758154037,1374287103.3333335,55287163.05624093,66353.3587551937,72674.93814977743,281846.1175612315,4292.131390227235
2003,9706152.822165953,47009.92355016085,3993.2752832900533,686123428.1742133,8818.870138749438,1386827619.5833333,57423310.56755649,68672.73682463486,74359.63236538465,286683.3975568621,4374.465097928833
2004,10050239.922863033,49123.85240397287,3998.4523848801473,711790627.5782706,10176.653027418533,1389508443.3333335,61631983.30061192,72428.98064823504,78284.70888900895,292615.02941277734,5020.2456406092015
2005,10383985.264814949,50951.9377100791,4013.1777446737747,738166698.7500074,10925.337384221431,1394996519.9999998,65646282.099686205,76930.75193476699,81235.1855317192,296986.5066173929,5362.936764218407
2006,10691371.609061485,49822.7339617805,4029.4016901606574,764052127.3613166,10959.021956628192,1247181114.1666667,69733278.38774186,80509.1706208143,76559.30330157674,300984.30315201695,5398.810491241696
2007,11334383.2971152,50842.472209084444,4069.37898145728,804539670.3526068,11169.96656951003,1178087400.0000002,73408337.48869467,84396.43193179752,73698.39799350829,304380.7862104783,5495.887635667896
2008,11770358.393240325,52303.81185938285,4108.037127162273,834603001.6095558,11308.743314333353,1146066398.3333333,74756980.7300573,86168.69153950417,69221.69486121809,302321.1300598589,5512.828763278669
2009,11908258.952256994,53276.16544936619,4092.9671681937853,851263733.6263655,11262.959011756067,1122480882.0833333,73819890.0131583,83916.62014657327,63030.45719500441,297226.3451119275,5454.897098250178
2010,11825105.407538181,54047.673108791656,4013.581235014067,860103678.3677882,11044.758139582484,1120483607.5,77708212.2982023,85941.68018930462,58962.39065315106,296603.7718861045,5278.679874862746
2011,11804149.154830255,56030.34959329047,4063.183214956496,877458671.0245734,11586.121052765724,1152014562.9166667,82645383.65881479,88085.44157159215,55172.1806193697,299200.2254735611,5658.769617168573
2012,11842872.426841734,58471.86911282082,4109.133104694521,898899202.0295074,12375.887296187966,1195386643.75,87606690.0520071,89564.4243304522,53177.29047227987,301602.41211803426,6146.235916974952
2013,11848931.089695131,61195.220088887596,4154.217299159773,921850234.6312952,13335.114401172774,1254708508.3333335,93338842.8955326,90512.61156825328,52354.136542416716,303799.2207227113,6668.46573855535
2014,11843250.485504273,63949.670462381626,4214.612935217386,948802751.066142,14274.527505619351,1311651572.9166667,100570901.64993913,91717.93442253933,51763.06798628965,305610.37973257515,7214.79149370703
2015,11899644.243430028,66839.88419699688,4295.358159012995,983928938.0063096,15270.454037820795,1365913734.1666665,107745327.50098456,91993.5197028069,51909.902854168635,308672.17108028324,7850.08265969816
2016,12003113.807008587,69545.08428436813,4409.230431390189,1018601276.2809076,15514.669981892399,1418017601.666667,110445749.39953232,92750.68597526678,51156.06095528485,309336.40431536996,7918.086460007599
2017,12087754.874608964,71628.30005162845,4489.447630027147,1047025693.8579116,15481.390157903446,1442572930.0,114639229.69565181,94502.70811578394,51829.91853345229,314888.12093244016,8051.528977955472
2018,12305436.60387266,73554.72158539096,4608.983352821693,1080901982.2291832,15624.645105452448,1459708225.8333333,119290116.40996495,96719.6990369506,52862.30004682838,322233.9725020295,8303.874360614238
2019,12589854.672320716,75442.51681535423,4696.866569028068,1113126778.80075,15891.903283326259,1474235165.0,123436868.89422116,98591.93041141496,53040.58238004738,329687.3193461592,8650.107352341882
