wt%,batt,Steel,Aluminium,Cu,Plastics,Li,Co,Ni,Mn,Nd,Glass,Ti,Wood,Rubber,Pb
2020,NiMH,0.1,0.00255,0.01769956,0.21,0.000525,0.00255,0.442573913,0.00255,0.047101968,0,0,0,0,0
2020,LMO,0.2147,0.0374,0.1003,0.0839875,0.010623757,0,0,0.166944751,0,0,0,0,0,0
2020,NMC,0.2147,0.0374,0.1003,0.0839875,0.009070283,0.076449528,0.076449528,0.071266509,0,0,0,0,0,0
2020,NCA,0.007413299,0.243716195,0.124721604,0,0.01890072,0.031307668,0.093509386,0.029175947,0,0,0,0,0,0
2020,LFP,0.140880503,0.05,0.05,0.1,0.017610063,0,0,0,0,0,0,0,0,0
2020,Lithium Sulfur,0.0053,0.1838,0.0782,0.0407,0.029391,0,0,0,0,0,0,0,0,0
2020,Lithium Ceramic ,0.0053,0.1838,0.0782,0.0407,0.031881257,0.020989311,0.167914491,0.019566307,0,0,0,0,0,0
2020,Lithium-air,0,0,0.093719512,0.305731707,0.056700949,0.009359756,0,0,0,0,0,0,0,0
2050,NiMH,0.1,0.00255,0.01769956,0.21,0.000525,0.00255,0.442573913,0.00255,0.047101968,0,0,0,0,0
2050,LMO,0.2147,0.0374,0.1003,0.0839875,0.010623757,0,0,0.166944751,0,0,0,0,0,0
2050,NMC,0.2147,0.0374,0.1003,0.0839875,0.009070283,0.076449528,0.076449528,0.071266509,0,0,0,0,0,0
2050,NCA,0.007413299,0.243716195,0.124721604,0,0.01890072,0.031307668,0.093509386,0.029175947,0,0,0,0,0,0
2050,LFP,0.140880503,0.05,0.05,0.1,0.017610063,0,0,0,0,0,0,0,0,0
2050,Lithium Sulfur,0.0053,0.1838,0.0782,0.0407,0.029391,0,0,0,0,0,0,0,0,0
2050,Lithium Ceramic ,0.0053,0.1838,0.0782,0.0407,0.031881257,0.020989311,0.167914491,0.019566307,0,0,0,0,0,0
2050,Lithium-air,0,0,0.093719512,0.305731707,0.056700949,0.009359756,0,0,0,0,0,0,0,0
