%,NiMH,LMO/LCO,NMC,NCA,LFP,Lithium Sulfur,Lithium Ceramic ,Lithium-air
1971,0.8,0.058,0.052,0.018,0.072,0,0,0
1972,0.8,0.058,0.052,0.018,0.072,0,0,0
1973,0.8,0.058,0.052,0.018,0.072,0,0,0
1974,0.8,0.058,0.052,0.018,0.072,0,0,0
1975,0.8,0.058,0.052,0.018,0.072,0,0,0
1976,0.8,0.058,0.052,0.018,0.072,0,0,0
1977,0.8,0.058,0.052,0.018,0.072,0,0,0
1978,0.8,0.058,0.052,0.018,0.072,0,0,0
1979,0.8,0.058,0.052,0.018,0.072,0,0,0
1980,0.8,0.058,0.052,0.018,0.072,0,0,0
1981,0.8,0.058,0.052,0.018,0.072,0,0,0
1982,0.8,0.058,0.052,0.018,0.072,0,0,0
1983,0.8,0.058,0.052,0.018,0.072,0,0,0
1984,0.8,0.058,0.052,0.018,0.072,0,0,0
1985,0.8,0.058,0.052,0.018,0.072,0,0,0
1986,0.8,0.058,0.052,0.018,0.072,0,0,0
1987,0.8,0.058,0.052,0.018,0.072,0,0,0
1988,0.8,0.058,0.052,0.018,0.072,0,0,0
1989,0.8,0.058,0.052,0.018,0.072,0,0,0
1990,0.8,0.058,0.052,0.018,0.072,0,0,0
1991,0.8,0.058,0.052,0.018,0.072,0,0,0
1992,0.8,0.058,0.052,0.018,0.072,0,0,0
1993,0.8,0.058,0.052,0.018,0.072,0,0,0
1994,0.8,0.058,0.052,0.018,0.072,0,0,0
1995,0.8,0.058,0.052,0.018,0.072,0,0,0
1996,0.8,0.058,0.052,0.018,0.072,0,0,0
1997,0.8,0.058,0.052,0.018,0.072,0,0,0
1998,0.8,0.058,0.052,0.018,0.072,0,0,0
1999,0.796517503,0.059009923,0.052905449,0.018313424,0.073253698,3.1158E-09,4.04624E-20,2.24905E-20
2000,0.789552508,0.06102977,0.054716346,0.018940273,0.075761094,9.34739E-09,1.21387E-19,6.74714E-20
2001,0.779105015,0.06405954,0.057432691,0.019880547,0.079522188,1.86948E-08,2.42775E-19,1.34943E-19
2002,0.765175025,0.068099234,0.061054485,0.021134245,0.08453698,3.1158E-08,4.04624E-19,2.24905E-19
2003,0.747762538,0.073148851,0.065581728,0.022701367,0.09080547,4.67369E-08,6.06937E-19,3.37357E-19
2004,0.726867553,0.079208391,0.071014419,0.024581914,0.098327657,6.54317E-08,8.49711E-19,4.72299E-19
2005,0.70249007,0.086277854,0.077352559,0.026775886,0.107103543,8.72423E-08,1.13295E-18,6.29733E-19
2006,0.67463009,0.094357241,0.084596147,0.029283282,0.117133127,1.12169E-07,1.45665E-18,8.09656E-19
2007,0.643287613,0.103446552,0.092745184,0.032104102,0.128416409,1.40211E-07,1.82081E-18,1.01207E-18
2008,0.608462638,0.113545785,0.10179967,0.035238347,0.140953389,1.71369E-07,2.22543E-18,1.23697E-18
2009,0.573637663,0.123645019,0.110854155,0.038372592,0.153490368,2.02527E-07,2.63006E-18,1.46188E-18
2010,0.538812688,0.133744253,0.11990864,0.041506837,0.166027348,2.33685E-07,3.03468E-18,1.68678E-18
2011,0.503987713,0.143843486,0.128963126,0.044641082,0.178564328,2.64843E-07,3.43931E-18,1.91169E-18
2012,0.469162738,0.15394272,0.138017611,0.047775327,0.191101308,2.96001E-07,3.84393E-18,2.13659E-18
2013,0.437644228,0.162769882,0.147383787,0.050689913,0.201509549,2.63592E-06,3.21358E-09,9.94284E-11
2014,0.409432183,0.170324973,0.157061655,0.053384842,0.209789053,7.28459E-06,9.64074E-09,2.98285E-10
2015,0.384526602,0.176607993,0.167051213,0.055860111,0.215939819,1.4242E-05,1.92815E-08,5.9657E-10
2016,0.362927486,0.181618941,0.177352463,0.058115723,0.219961846,2.35082E-05,3.21358E-08,9.94284E-10
2017,0.344634835,0.185357817,0.187965403,0.060151676,0.221855136,3.50832E-05,4.82037E-08,1.49143E-09
2018,0.329648648,0.187824623,0.198890035,0.061967971,0.221619687,4.89669E-05,6.74852E-08,2.088E-09
