,air_pas,air_freight,rail_reg,rail_hst,rail_freight,sea_shipping_small,sea_shipping_med,sea_shipping_large,sea_shipping_vl,LCV,MFT,HFT,midi_bus,reg_bus,inland_shipping,bicycle,car,,
type,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,FoldedNormal,Weibull,,
mean,20,21,35,30,38,26,26,26,26,14,8,8,13,13,40,10,9.64,,
stdev,0.281,0.281,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.196,0.266,0.266,0.322,0.322,0.266,0.266,0.4,,
shape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,,
scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
