,,air_pas,air_freight,rail_reg,rail_hst,rail_freight,sea_shipping_small,sea_shipping_med,sea_shipping_large,sea_shipping_vl,inland_shipping,bicycle
2020,Steel,0.09,0.09,0.605,0.5964,0.9445,0.91,0.91,0.91,0.91,0.91,0.34
2020,Aluminium,0.68,0.68,0.3146,0.2517,0.0541,0.01,0.01,0.01,0.01,0.01,0.46
2020,Cu,0.0046,0,0.0014,0.0131,0.0015,0.01,0.01,0.01,0.01,0.01,0
2020,Plastics,0.0525,0.0525,0.0209,0.0328,0,0.02,0.02,0.02,0.02,0.02,0.12
2020,Glass,0,0,0.0037,0.0185,0,0.0006,0.0006,0.0006,0.0006,0.0006,0
2020,Ti,0.06,0.06,0,0,0,0,0,0,0,0,0
2020,Wood,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0
2020,Rubber,0,0,0,0,0,0,0,0,0,0,0.07
2020,Pb,0,0,0,0,0,0,0,0,0,0,0
2020,Co,0,0,0,0,0,0,0,0,0,0,0
2020,Nd,0,0,0,0,0,0,0,0,0,0,0
2020,Li,0,0,0,0,0,0,0,0,0,0,0
2020,Ni,0,0,0,0,0,0,0,0,0,0,0
2020,Mn,0,0,0,0,0,0,0,0,0,0,0
2050,Steel,0.09,0.09,0.605,0.5964,0.9445,0.91,0.91,0.91,0.91,0.91,0.34
2050,Aluminium,0.68,0.68,0.3146,0.2517,0.0541,0.01,0.01,0.01,0.01,0.01,0.46
2050,Cu,0.0046,0,0.0014,0.0131,0.0015,0.01,0.01,0.01,0.01,0.01,0
2050,Plastics,0.0525,0.0525,0.0209,0.0328,0,0.02,0.02,0.02,0.02,0.02,0.12
2050,Glass,0,0,0.0037,0.0185,0,0.0006,0.0006,0.0006,0.0006,0.0006,0
2050,Ti,0.06,0.06,0,0,0,0,0,0,0,0,0
2050,Wood,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0
2050,Rubber,0,0,0,0,0,0,0,0,0,0,0.07
2050,Pb,0,0,0,0,0,0,0,0,0,0,0
2050,Co,0,0,0,0,0,0,0,0,0,0,0
2050,Nd,0,0,0,0,0,0,0,0,0,0,0
2050,Li,0,0,0,0,0,0,0,0,0,0,0
2050,Ni,0,0,0,0,0,0,0,0,0,0,0
2050,Mn,0,0,0,0,0,0,0,0,0,0,0
