,,LCV,LCV,LCV,LCV,LCV,MFT,MFT,MFT,MFT,MFT,HFT,HFT,HFT,HFT,HFT,midi_bus,midi_bus,midi_bus,midi_bus,midi_bus,reg_bus,reg_bus,reg_bus,reg_bus,reg_bus,reg_bus,car,car,car,car,car
year,material,ICE,HEV,PHEV,BEV,FCV,ICE,HEV,PHEV,BEV,FCV,ICE,HEV,PHEV,BEV,FCV,ICE,HEV,PHEV,BEV,FCV,ICE,HEV,PHEV,BEV,FCV,Trolley,ICE,HEV,PHEV,BEV,FCV
2020,Steel,0.656,0.656,0.656,0.656,0.656,0.642,0.642,0.642,0.642,0.642,0.739,0.739,0.739,0.739,0.739,0.3187,0.3187,0.3187,0.3187,0.3187,0.5534,0.5534,0.5534,0.5534,0.5534,0.5534,0.632370992,0.632370992,0.477759437,0.477759437,0.450291896
2020,Aluminium,0.061,0.061,0.061,0.061,0.061,0.009,0.009,0.009,0.009,0.009,0.036,0.036,0.036,0.036,0.036,0.3652,0.3652,0.3652,0.3652,0.3652,0.1898,0.1898,0.1898,0.1898,0.1898,0.1898,0.0966181,0.0966181,0.138837942,0.138837942,0.249399038
2020,Cu,0.01,0.01,0.01,0.01,0.01,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.005,0.005,0.005,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.018416745,0.018416745,0.074440893,0.074440893,0.013521635
2020,Plastics,0.108,0.108,0.108,0.108,0.108,0.196,0.196,0.196,0.196,0.196,0.056,0.056,0.056,0.056,0.056,0.1491,0.1491,0.1491,0.1491,0.1491,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.124514196,0.124514196,0.10160585,0.10160585,0.084563874
2020,Glass,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.003,0.003,0.003,0.003,0.003,0.0456,0.0456,0.0456,0.0456,0.0456,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.02657849,0.02657849,0.024063011,0.024063011,0.030048077
2020,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007451367,0.007451367,0
2020,Rubber,0.03,0.03,0.03,0.03,0.03,0.056,0.056,0.056,0.056,0.056,0.058,0.058,0.058,0.058,0.058,0.0262,0.0262,0.0262,0.0262,0.0262,0.029,0.029,0.029,0.029,0.029,0.029,0.031220024,0.031220024,0.023554997,0.023554997,0.042925824
2020,Pb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007989526,0.007989526,0.00145563,0.00145563,0.002146291
2020,Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36E-05,2.36E-05,1.80E-05,1.80E-05,2.66E-05
2020,Nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153221,0.000153221,0.000907439,0.000907439,0.002506868
2020,Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Ni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,Steel,0.656,0.656,0.656,0.656,0.656,0.642,0.642,0.642,0.642,0.642,0.739,0.739,0.739,0.739,0.739,0.3187,0.3187,0.3187,0.3187,0.3187,0.5534,0.5534,0.5534,0.5534,0.5534,0.5534,0.632370992,0.632370992,0.477759437,0.477759437,0.450291896
2050,Aluminium,0.061,0.061,0.061,0.061,0.061,0.009,0.009,0.009,0.009,0.009,0.036,0.036,0.036,0.036,0.036,0.3652,0.3652,0.3652,0.3652,0.3652,0.1898,0.1898,0.1898,0.1898,0.1898,0.1898,0.0966181,0.0966181,0.138837942,0.138837942,0.249399038
2050,Cu,0.01,0.01,0.01,0.01,0.01,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.005,0.005,0.005,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.018416745,0.018416745,0.074440893,0.074440893,0.013521635
2050,Plastics,0.108,0.108,0.108,0.108,0.108,0.196,0.196,0.196,0.196,0.196,0.056,0.056,0.056,0.056,0.056,0.1491,0.1491,0.1491,0.1491,0.1491,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.124514196,0.124514196,0.10160585,0.10160585,0.084563874
2050,Glass,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.003,0.003,0.003,0.003,0.003,0.0456,0.0456,0.0456,0.0456,0.0456,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.02657849,0.02657849,0.024063011,0.024063011,0.030048077
2050,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007451367,0.007451367,0
