t,Small,Medium,Large,Very Large
2018,0.00214666,0.053834082,0.358439408,0.58557985
2017,0.002180789,0.055543673,0.366619385,0.575656153
2016,0.002218453,0.056803262,0.373319115,0.56765917
2015,0.002257166,0.05890518,0.384146408,0.554691246
2014,0.002287944,0.060315126,0.387268045,0.550128886
2013,0.002335589,0.062602856,0.391957443,0.543104111
2012,0.002379879,0.065323131,0.393414022,0.538882968
2011,0.002488043,0.070926456,0.399258913,0.527326587
2010,0.002696441,0.0774703,0.409014305,0.510818954
2009,0.002897598,0.082781628,0.414670092,0.499650681
2008,0.002924123,0.08866779,0.42183261,0.486575478
2007,0.003051464,0.092192941,0.424876405,0.479879189
2006,0.003227653,0.095652551,0.425881733,0.475238063
2005,0.003671614,0.098754133,0.426834389,0.470739864
