yr,type,LCV,MFT,HFT,midi_bus,reg_bus,car
2020,ICE,1728,8229,15947,7324,14855,1409
2020,HEV,1728,8229,15947,7324,14855,1460
2020,PHEV,1728,8229,15947,7324,14855,1709
2020,BEV,1728,8229,15947,7324,14855,1760
2020,FCV,1728,8229,15947,7324,14855,1162
2020,Trolley,0,0,0,0,14855,0
2050,ICE,1728,8229,15947,7324,14855,1409
2050,HEV,1728,8229,15947,7324,14855,1460
2050,PHEV,1728,8229,15947,7324,14855,1709
2050,BEV,1728,8229,15947,7324,14855,1760
2050,FCV,1728,8229,15947,7324,14855,1162
2050,Trolley,0,0,0,0,14855,0
